CellLine,InitialCondition,Day,R
983b,10000,2.5,223.862933483438
983b,10000,2.5,227.010286752398
983b,10000,2.5,227.015895413726
983b,10000,2.5,231.308578193739
983b,10000,2.5,230.390324034237
983b,10000,2.5,223.306565019412
983b,10000,2.5,217.530681834098
983b,10000,2.5,231.121900097927
983b,10000,2.5,220.883356323283
983b,10000,2.5,222.440928645645
983b,10000,2.5,228.58167261708
983b,10000,2.5,223.55082294803
983b,10000,2.5,215.555347623528
983b,10000,2.5,227.105334838204
983b,10000,2.5,222.891233486274
983b,2500,2.75,141.211705027961
983b,2500,2.75,137.282942613891
983b,2500,2.75,136.717781419241
983b,2500,2.75,135.720738399574
983b,2500,2.75,142.045179067744
983b,2500,2.75,146.271543784101
983b,2500,2.75,141.049810597687
983b,2500,2.75,140.481733511618
983b,2500,2.75,142.882691225571
983b,2500,2.75,141.44520915112
983b,2500,2.75,140.653300521113
983b,2500,2.75,141.427260982879
983b,2500,2.75,140.002039430282
983b,2500,2.75,140.08361548828
983b,2500,2.75,141.472132759001
983b,2500,2.75,139.84782654825
983b,2500,2.75,137.292182088136
983b,2500,2.75,140.029240518595
983b,2500,2.75,137.264450204867
983b,2500,2.75,138.222797959826
983b,2500,2.75,139.30217853118
983b,2500,2.75,139.283954211704
983b,2500,2.75,142.518007582472
983b,5000,2.75,176.920893785565
983b,5000,2.75,181.188410922001
983b,5000,2.75,178.371354195165
983b,5000,2.75,183.25725328031
983b,5000,2.75,178.107860391121
983b,5000,2.75,180.064090916733
983b,5000,2.75,173.991000030769
983b,5000,2.75,179.718338892137
983b,5000,2.75,180.388006541238
983b,5000,2.75,180.816732255481
983b,5000,2.75,182.660592709293
983b,5000,2.75,179.258666426902
983b,5000,2.75,181.929490270873
983b,5000,2.75,175.038352124034
983b,5000,2.75,176.72708052274
983b,5000,2.75,178.193356187066
983b,5000,2.75,179.244460251837
983b,5000,2.75,180.444288007851
983b,5000,2.75,166.429328866428
983b,5000,2.75,179.286986629037
983b,5000,2.75,178.057973354905
983b,5000,2.75,178.150613417852
